[2025-11-26 19:28:00] ===== START WEATHER CRAWL 2024 =====
[2025-11-26 19:28:00] Loaded 63 cities from city_2025-11-26.parquet
[2025-11-26 19:28:00] Crawling range: 2024-01-01 → 2024-01-31
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:01] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:02] ⚠ API limit reached! Retry in 2s (attempt 1/3)
[2025-11-26 19:28:05] ✔ Saved: /mnt/d/Data Engineer/Bài tập/ELT Weather/data/raw/weather/weather_2025-11-26.json
[2025-11-26 19:28:05] ⏱ Total time: 4 seconds
[2025-11-26 19:28:05] ===== FINISHED WEATHER CRAWL 2024 =====

[2025-11-29 14:28:07] ===== START WEATHER CRAWL 2025-11-28 14:28:07.814025 =====
[2025-11-29 14:28:08] Loaded 63 cities from city_2025-11-26.parquet
[2025-11-29 14:28:08] Crawling range: 2025-11-28 14:28:07.814025
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 16.4639321,107.5863388 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 16.068,108.212 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 15.5587908,108.109299 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 14.9953739,108.691729 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 14.1086959,109.1145897 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 13.1998999,109.2390033 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 12.2980751,108.9950386 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.4639176,109.1316501 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.4398768,108.5137429 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 14.6699512,108.0288466 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 14.0201373,108.6354524 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 12.8741856,108.7979302 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 12.2807367,107.742636 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.6614957,108.1335279 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.8000378,106.9151381 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.0800527,106.2610531 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.1826157,106.6738179 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 11.4285446,107.1624245 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.7836158,107.539162 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.7755254,106.7021047 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.7119482,106.1257781 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.3647275,106.3207017 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.8837431,106.7340154 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.5815192,106.5307116 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.046765,106.2947443 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.425183,105.9271362 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.3188672,105.0432488 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.7667502,104.4726437 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 10.0362046,105.7872656 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.7881262,105.6390398 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.3203771,106.1059371 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 8.8961366,105.6969598 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:08] ⚠ Error attempt 1/3 for 9.0180177,105.0869724 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.0283334,105.854041 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.7792173,104.959767 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.7426936,106.1060926 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.2728552,105.8564601 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.3382057,105.0715846 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.3069302,104.1829592 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.6546566,103.2168632 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 22.2921668,103.1798662 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.2276769,104.1575944 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.8091042,104.5182832 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 20.7090533,105.2576439 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.9610968,105.8440789 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
[2025-11-29 14:28:09] ⚠ Error attempt 2/3 for 21.8487579,106.6140692 → Invalid variable type: value should be str, int or float, got datetime.datetime(2025, 11, 28, 14, 28, 7, 814025) of type <class 'datetime.datetime'>
